#Peitsch,Effectif,affinity
101,926,e
103,365,e
105,816,E
107,414,E
109,368,e
1093,152,e
1095,45,e
1097,145,H
1099,36,m
11,6544,E
1101,79,h
1105,97,h
1107,42,m
1109,54,e
111,118,E
1113,115,H
1123,40,e
1125,58,h
1129,60,m
113,794,E
1137,35,E
115,456,e
1161,185,H
1163,89,h
1165,71,h
1167,37,m
1169,162,H
117,374,E
1171,99,H
1173,69,e
1177,150,H
1179,49,H
1181,35,h
1187,74,e
1189,39,m
119,113,e
1193,47,e
1197,39,e
1201,62,e
121,440,E
1221,104,H
1223,39,e
1225,148,H
1227,49,h
1229,60,H
123,125,E
1233,81,H
1235,31,h
1241,46,H
125,159,E
1251,37,e
1253,37,e
1265,31,E
1297,100,h
1299,69,h
13,6137,e
1301,55,e
1303,33,e
1305,85,h
1307,32,h
1315,46,e
1317,41,e
1319,33,e
1321,64,e
1329,78,H
1331,52,h
1349,54,E
1351,34,e
1353,71,e
1361,64,e
1363,34,m
137,981,H
139,589,h
141,525,e
1417,88,h
1425,101,H
1427,36,H
143,245,E
1433,62,H
1443,45,E
145,995,H
1457,33,h
147,816,H
1477,36,e
149,478,E
15,3955,E
151,262,e
153,1022,H
155,482,H
157,314,e
1571,81,h
1573,80,h
1577,66,e
1585,54,e
1587,34,h
159,110,h
1605,120,h
1607,39,m
1609,89,h
1611,52,m
1613,34,H
1617,61,h
1625,44,h
163,480,e
1635,55,H
1637,56,H
1641,30,h
165,470,E
167,267,e
1673,106,h
1677,40,e
1681,69,h
1683,38,M
1689,55,m
169,578,E
17,5306,h
1701,33,e
171,226,E
1713,30,e
173,220,E
1733,40,h
1737,63,H
1745,35,h
175,72,E
177,585,e
179,430,h
1809,54,m
181,227,E
183,106,e
1833,33,e
1841,36,e
185,313,e
1861,33,e
187,124,E
189,112,E
19,4460,H
1929,51,m
197,430,e
199,248,E
201,739,H
203,291,e
205,300,h
207,100,e
209,570,e
21,3791,E
211,309,e
213,202,E
215,90,E
217,484,H
2185,97,H
2187,48,H
2189,32,h
219,169,e
2193,132,H
2195,70,H
2197,43,m
2201,88,H
221,88,e
2211,30,h
2217,37,e
2225,64,H
2227,32,H
2229,50,H
2245,31,e
2249,61,H
2257,60,H
2265,46,H
227,311,e
229,218,E
23,2463,E
231,95,E
2321,103,H
2323,53,H
2325,38,e
2329,49,H
233,340,E
2331,34,H
2339,40,h
2341,42,m
235,83,E
2353,103,H
237,109,E
2385,45,h
241,326,E
243,131,E
2441,72,H
2443,31,h
2445,32,e
2449,122,H
245,101,E
2451,63,H
2453,43,H
2457,57,H
247,33,E
2481,41,H
2483,34,H
249,97,E
25,4489,H
251,50,E
2595,32,h
2597,53,m
2601,42,e
2609,33,m
2611,36,H
2629,44,h
2633,45,h
2641,33,e
2697,39,h
27,2524,h
2705,55,m
2707,41,h
273,519,H
275,474,H
277,305,e
279,197,e
281,344,H
283,238,h
2833,33,h
285,100,E
2865,33,H
287,61,e
29,2203,E
291,315,H
293,296,e
295,212,e
2961,34,h
297,263,e
299,223,e
3,25554,h
301,156,E
303,83,m
305,472,H
307,335,H
309,201,e
31,806,E
311,69,H
313,171,e
3141,57,m
315,105,h
317,69,E
3209,94,H
3211,30,h
3213,36,h
3217,56,H
3219,44,H
3225,54,H
3249,32,H
325,232,e
327,133,e
3273,43,H
329,302,h
331,138,e
333,129,e
3345,85,h
3347,39,h
335,75,E
3353,32,m
337,305,e
339,145,h
341,114,E
343,53,e
345,172,e
347,56,e
3473,32,H
349,61,E
35,1972,h
355,181,e
357,133,h
359,78,h
361,139,E
363,58,E
365,55,e
369,127,E
37,1995,e
371,85,h
373,41,E
377,40,E
3857,32,E
39,1473,e
393,371,h
395,206,h
397,165,h
399,78,E
401,479,H
403,311,H
405,176,e
407,94,h
409,334,H
41,2217,e
411,136,H
413,102,e
419,179,h
421,137,e
423,101,e
425,151,E
427,78,E
429,51,E
43,1593,E
433,209,H
435,175,H
4369,40,H
437,80,e
4371,67,H
439,32,h
4401,55,H
4403,35,H
441,83,H
443,33,H
4497,42,H
45,1304,E
4505,53,H
453,142,E
455,85,E
457,186,e
459,85,h
461,67,e
4645,54,H
465,127,E
4657,36,H
467,83,h
4677,33,h
469,53,E
47,708,E
473,116,h
475,35,E
483,83,e
485,74,E
4881,31,H
489,80,e
4899,30,H
49,2232,h
491,37,E
4913,33,H
497,54,E
499,31,h
5,14472,e
51,1652,H
5257,31,h
5273,35,H
53,1335,E
547,180,h
549,197,h
55,528,e
551,82,h
553,158,e
555,91,e
557,87,e
561,171,h
563,165,H
565,88,E
567,48,h
569,101,m
57,1420,e
571,52,e
573,55,E
581,206,H
583,109,m
585,206,h
587,72,m
589,132,h
59,729,e
591,46,m
593,171,e
595,84,h
597,57,e
599,52,e
601,110,h
603,65,e
605,34,e
61,661,E
611,111,h
613,174,H
615,68,h
617,108,h
619,43,e
621,76,h
625,91,e
627,41,h
629,38,e
63,184,E
633,55,E
6417,31,H
6419,33,H
649,185,h
651,94,e
653,104,e
655,42,E
657,187,h
659,127,h
661,103,e
663,45,m
665,159,H
667,48,H
669,44,E
675,105,e
677,99,E
679,57,E
681,108,e
683,33,e
685,43,e
689,107,e
69,1281,e
691,67,m
693,35,e
7,10768,E
709,112,e
71,608,e
711,46,E
713,81,h
715,43,e
717,77,H
721,72,e
723,45,e
725,42,E
729,35,h
73,1376,h
739,50,e
741,52,E
745,31,e
75,644,E
753,42,e
77,923,h
785,161,h
787,132,H
789,89,e
79,360,E
791,60,e
793,119,h
795,81,h
797,40,e
803,104,h
805,150,h
807,64,h
809,105,e
81,1084,e
811,53,m
813,42,m
817,142,H
819,68,H
821,64,h
825,40,h
83,774,e
837,108,e
839,43,m
841,103,m
843,47,m
845,50,e
849,93,E
85,703,E
851,33,h
867,51,e
869,48,h
87,335,E
873,46,e
89,965,e
9,8908,h
905,111,e
907,57,e
909,47,e
91,431,E
913,108,h
915,76,h
917,30,E
921,62,h
923,34,H
93,338,E
931,52,e
933,47,e
937,37,E
945,56,h
95,88,E
965,78,e
969,77,e
973,31,E
977,41,E
99,645,e
