#Peitsch,Effectif,affinity
3,25554,h
5,14472,e
7,10768,E
9,8908,h
11,6544,E
13,6137,e
17,5306,h
25,4489,H
19,4460,H
15,3955,E
21,3791,E
27,2524,h
23,2463,E
49,2232,h
41,2217,e
29,2203,E
37,1995,e
35,1972,h
51,1652,H
43,1593,E
39,1473,e
57,1420,e
73,1376,h
53,1335,E
45,1304,E
69,1281,e
81,1084,e
153,1022,H
145,995,H
137,981,H
89,965,e
101,926,e
77,923,h
105,816,E
147,816,H
31,806,E
113,794,E
83,774,e
201,739,H
59,729,e
47,708,E
85,703,E
61,661,E
99,645,e
75,644,E
71,608,e
139,589,h
177,585,e
169,578,E
209,570,e
55,528,e
141,525,e
273,519,H
217,484,H
155,482,H
163,480,e
401,479,H
149,478,E
275,474,H
305,472,H
165,470,E
115,456,e
121,440,E
91,431,E
179,430,h
197,430,e
107,414,E
117,374,E
393,371,h
109,368,e
103,365,e
79,360,E
281,344,H
233,340,E
93,338,E
307,335,H
87,335,E
409,334,H
241,326,E
291,315,H
157,314,e
185,313,e
227,311,e
403,311,H
211,309,e
277,305,e
337,305,e
329,302,h
205,300,h
293,296,e
203,291,e
167,267,e
297,263,e
151,262,e
199,248,E
143,245,E
283,238,h
325,232,e
181,227,E
171,226,E
299,223,e
173,220,E
229,218,E
295,212,e
433,209,H
395,206,h
581,206,H
585,206,h
213,202,E
309,201,e
279,197,e
549,197,h
657,187,h
457,186,e
1161,185,H
649,185,h
63,184,E
355,181,e
547,180,h
419,179,h
405,176,e
435,175,H
613,174,H
345,172,e
313,171,e
561,171,h
593,171,e
219,169,e
397,165,h
563,165,H
1169,162,H
785,161,h
125,159,E
665,159,H
553,158,e
301,156,E
1093,152,e
425,151,E
1177,150,H
805,150,h
1225,148,H
1097,145,H
339,145,h
453,142,E
817,142,H
361,139,E
331,138,e
421,137,e
411,136,H
327,133,e
357,133,h
2193,132,H
589,132,h
787,132,H
243,131,E
333,129,e
369,127,E
465,127,E
659,127,h
123,125,E
187,124,E
2449,122,H
1605,120,h
793,119,h
111,118,E
473,116,h
1113,115,H
341,114,E
119,113,e
189,112,E
709,112,e
611,111,h
905,111,e
159,110,h
601,110,h
237,109,E
583,109,m
617,108,h
681,108,e
837,108,e
913,108,h
689,107,e
1673,106,h
183,106,e
315,105,h
675,105,e
809,105,e
1221,104,H
653,104,e
803,104,h
2321,103,H
2353,103,H
661,103,e
841,103,m
413,102,e
1425,101,H
245,101,E
423,101,e
569,101,m
1297,100,h
207,100,e
285,100,E
1171,99,H
677,99,E
1105,97,h
2185,97,H
249,97,E
231,95,E
3209,94,H
407,94,h
651,94,e
849,93,E
555,91,e
625,91,e
215,90,E
1163,89,h
1609,89,h
789,89,e
1417,88,h
2201,88,H
221,88,e
565,88,E
95,88,E
557,87,e
1305,85,h
3345,85,h
371,85,h
455,85,E
459,85,h
595,84,h
235,83,E
303,83,m
441,83,H
467,83,h
483,83,e
551,82,h
1233,81,H
1571,81,h
713,81,h
795,81,h
1573,80,h
437,80,e
489,80,e
1101,79,h
1329,78,H
359,78,h
399,78,E
427,78,E
965,78,e
717,77,H
969,77,e
621,76,h
915,76,h
335,75,E
1187,74,e
485,74,E
175,72,E
2441,72,H
587,72,m
721,72,e
1165,71,h
1353,71,e
2195,70,H
1173,69,e
1299,69,h
1681,69,h
311,69,H
317,69,E
615,68,h
819,68,H
4371,67,H
461,67,e
691,67,m
1577,66,e
603,65,e
1321,64,e
1361,64,e
2225,64,H
807,64,h
821,64,h
1737,63,H
2451,63,H
1201,62,e
1433,62,H
921,62,h
1617,61,h
2249,61,H
287,61,e
349,61,E
1129,60,m
1229,60,H
2257,60,H
791,60,e
1125,58,h
363,58,E
2457,57,H
3141,57,m
597,57,e
679,57,E
907,57,e
1637,56,H
3217,56,H
347,56,e
945,56,h
1301,55,e
1635,55,H
1689,55,m
2705,55,m
365,55,e
4401,55,H
573,55,E
633,55,E
1109,54,e
1349,54,E
1585,54,e
1809,54,m
3225,54,H
4645,54,H
497,54,E
2323,53,H
2597,53,m
343,53,e
4505,53,H
469,53,E
811,53,m
1331,52,h
1611,52,m
571,52,e
599,52,e
741,52,E
931,52,e
1929,51,m
429,51,E
867,51,e
2229,50,H
251,50,E
739,50,e
845,50,e
1179,49,H
1227,49,h
2329,49,H
2187,48,H
567,48,h
667,48,H
869,48,h
1193,47,e
843,47,m
909,47,e
933,47,e
1241,46,H
1315,46,e
2265,46,H
591,46,m
711,46,E
873,46,e
1095,45,e
1443,45,E
2385,45,h
2633,45,h
663,45,m
723,45,e
1625,44,h
2629,44,h
3219,44,H
669,44,E
2197,43,m
2453,43,H
3273,43,H
619,43,e
685,43,e
715,43,e
839,43,m
1107,42,m
2341,42,m
2601,42,e
4497,42,H
655,42,E
725,42,E
753,42,e
813,42,m
1317,41,e
2481,41,H
2707,41,h
373,41,E
627,41,h
977,41,E
1123,40,e
1677,40,e
1733,40,h
2339,40,h
377,40,E
4369,40,H
797,40,e
825,40,h
1189,39,m
1197,39,e
1223,39,e
1607,39,m
2697,39,h
3347,39,h
1683,38,M
2325,38,e
629,38,e
1167,37,m
1251,37,e
1253,37,e
2217,37,e
491,37,E
937,37,E
1099,36,m
1427,36,H
1477,36,e
1841,36,e
2611,36,H
3213,36,h
4657,36,H
1137,35,E
1181,35,h
1745,35,h
4403,35,H
475,35,E
5273,35,H
693,35,e
729,35,h
1351,34,e
1363,34,m
1587,34,h
1613,34,H
2331,34,H
2483,34,H
2961,34,h
605,34,e
923,34,H
1303,33,e
1319,33,e
1457,33,h
1701,33,e
1833,33,e
1861,33,e
247,33,E
2609,33,m
2641,33,e
2833,33,h
2865,33,H
443,33,H
4677,33,h
4913,33,H
6419,33,H
683,33,e
851,33,h
1307,32,h
2189,32,h
2227,32,H
2445,32,e
2595,32,h
3249,32,H
3353,32,m
3473,32,H
3857,32,E
439,32,h
1235,31,h
1265,31,E
2245,31,e
2443,31,h
4881,31,H
499,31,h
5257,31,h
6417,31,H
745,31,e
973,31,E
1641,30,h
1713,30,e
2211,30,h
3211,30,h
4899,30,H
917,30,E
