39575	d.68.2.2	d1a2na_	1a2n	A	[]	PF00275
31120	c.23.1.1	d1a2oa1	1a2o	A	['1-140']	PF00072
32479	c.40.1.1	d1a2oa2	1a2o	A	['141-347']	PF00072
31121	c.23.1.1	d1a2ob1	1a2o	B	['1-140']	PF00072
32480	c.40.1.1	d1a2ob2	1a2o	B	['141-347']	PF00072
36140	d.1.1.2	d1a2pa_	1a2p	A	[]	PF00545
36141	d.1.1.2	d1a2pb_	1a2p	B	[]	PF00545
36142	d.1.1.2	d1a2pc_	1a2p	C	[]	PF00545
32512	c.41.1.1	d1a2qa_	1a2q	A	[]	PF00082
15800	a.3.1.1	d1a2sa_	1a2s	A	[]	PF13442
24839	b.40.1.1	d1a2ta_	1a2t	A	[]	PF00565
24843	b.40.1.1	d1a2ua_	1a2u	A	[]	PF00565
24416	b.30.2.1	d1a2va1	1a2v	A	['237-672']	PF02727
38059	d.17.2.1	d1a2va2	1a2v	A	['18-115']	PF02727
38060	d.17.2.1	d1a2va3	1a2v	A	['116-236']	PF02727
24417	b.30.2.1	d1a2vb1	1a2v	B	['237-672']	PF02727
38061	d.17.2.1	d1a2vb2	1a2v	B	['18-115']	PF02727
38062	d.17.2.1	d1a2vb3	1a2v	B	['116-236']	PF02727
24418	b.30.2.1	d1a2vc1	1a2v	C	['237-672']	PF02727
38063	d.17.2.1	d1a2vc2	1a2v	C	['18-115']	PF02727
38064	d.17.2.1	d1a2vc3	1a2v	C	['116-236']	PF02727
24419	b.30.2.1	d1a2vd1	1a2v	D	['237-672']	PF02727
38065	d.17.2.1	d1a2vd2	1a2v	D	['18-115']	PF02727
38066	d.17.2.1	d1a2vd3	1a2v	D	['116-236']	PF02727
24420	b.30.2.1	d1a2ve1	1a2v	E	['237-672']	PF02727
38067	d.17.2.1	d1a2ve2	1a2v	E	['18-115']	PF02727
38068	d.17.2.1	d1a2ve3	1a2v	E	['116-236']	PF02727
24421	b.30.2.1	d1a2vf1	1a2v	F	['237-672']	PF02727
38069	d.17.2.1	d1a2vf2	1a2v	F	['18-115']	PF02727
38070	d.17.2.1	d1a2vf3	1a2v	F	['116-236']	PF02727
37248	d.5.1.1	d1a2wa_	1a2w	A	[]	PF00074
37249	d.5.1.1	d1a2wb_	1a2w	B	[]	PF00074
17251	a.39.1.5	d1a2xa_	1a2x	A	[]	PF13499
19926	b.1.1.1	d1a2ya_	1a2y	A	[]	PF07686
19927	b.1.1.1	d1a2yb_	1a2y	B	[]	PF07686
36305	d.2.1.2	d1a2yc_	1a2y	C	[]	PF00062
33794	c.56.4.1	d1a2za_	1a2z	A	[]	PF01470
33795	c.56.4.1	d1a2zb_	1a2z	B	[]	PF01470
33796	c.56.4.1	d1a2zc_	1a2z	C	[]	PF01470
33797	c.56.4.1	d1a2zd_	1a2z	D	[]	PF01470
26553	b.50.1.1	d1a30a_	1a30	A	[]	PF00077
26554	b.50.1.1	d1a30b_	1a30	B	[]	PF00077
42170	d.163.1.2	d1a31a1	1a31	A	['431-626', '720-765']	PF02919
16384	a.16.1.2	d1a32a_	1a32	A	[]	PF00312
27496	b.62.1.1	d1a33a_	1a33	A	[]	PF00160
42171	d.163.1.2	d1a35a1	1a35	A	['431-635', '713-765']	PF02919
15715	a.2.8.1	d1a36a1	1a36	A	['641-712']	PF02919
42173	d.163.1.2	d1a36a2	1a36	A	['431-633', '713-765']	PF02919
19198	a.118.7.1	d1a37a_	1a37	A	[]	PF00244
19199	a.118.7.1	d1a37b_	1a37	B	[]	PF00244
19200	a.118.7.1	d1a38a_	1a38	A	[]	PF00244
19201	a.118.7.1	d1a38b_	1a38	B	[]	PF00244
24305	b.29.1.10	d1a39a_	1a39	A	[]	PF00840
40917	d.112.1.1	d1a3aa_	1a3a	A	[]	PF00359
40918	d.112.1.1	d1a3ab_	1a3a	B	[]	PF00359
40919	d.112.1.1	d1a3ac_	1a3a	C	[]	PF00359
40920	d.112.1.1	d1a3ad_	1a3a	D	[]	PF00359
34095	c.61.1.1	d1a3ca_	1a3c	A	[]	PF00156
19517	a.133.1.2	d1a3da_	1a3d	A	[]	PF00068
19521	a.133.1.2	d1a3fa_	1a3f	A	[]	PF00068
19522	a.133.1.2	d1a3fb_	1a3f	B	[]	PF00068
19523	a.133.1.2	d1a3fc_	1a3f	C	[]	PF00068
28819	c.1.8.3	d1a3ha_	1a3h	A	[]	PF00150
24218	b.29.1.3	d1a3ka_	1a3k	A	[]	PF00337
20241	b.1.1.1	d1a3lh1	1a3l	H	['1-113']	PF07654
21253	b.1.1.2	d1a3lh2	1a3l	H	['114-227']	PF07654
20240	b.1.1.1	d1a3ll1	1a3l	L	['1-107']	PF07654
21252	b.1.1.2	d1a3ll2	1a3l	L	['108-212']	PF07654
15247	a.1.1.2	d1a3na_	1a3n	A	[]	PF00042
15430	a.1.1.2	d1a3nb_	1a3n	B	[]	PF00042
15248	a.1.1.2	d1a3nc_	1a3n	C	[]	PF00042
15431	a.1.1.2	d1a3nd_	1a3n	D	[]	PF00042
15274	a.1.1.2	d1a3oa_	1a3o	A	[]	PF00042
15453	a.1.1.2	d1a3ob_	1a3o	B	[]	PF00042
15275	a.1.1.2	d1a3oc_	1a3o	C	[]	PF00042
15454	a.1.1.2	d1a3od_	1a3o	D	[]	PF00042
21932	b.1.18.1	d1a3qa1	1a3q	A	['227-327']	PF00554
22447	b.2.5.3	d1a3qa2	1a3q	A	['37-226']	PF00554
21933	b.1.18.1	d1a3qb1	1a3q	B	['227-327']	PF00554
22448	b.2.5.3	d1a3qb2	1a3q	B	['37-226']	PF00554
19781	b.1.1.1	d1a3rh1	1a3r	H	['2-113']	PF07686
20891	b.1.1.2	d1a3rh2	1a3r	H	['114-228']	PF07686
19780	b.1.1.1	d1a3rl1	1a3r	L	['1-107']	PF07686
20890	b.1.1.2	d1a3rl2	1a3r	L	['108-214']	PF07686
38335	d.20.1.1	d1a3sa_	1a3s	A	[]	PF00179
24852	b.40.1.1	d1a3ta_	1a3t	A	[]	PF00565
24848	b.40.1.1	d1a3ua_	1a3u	A	[]	PF00565
24861	b.40.1.1	d1a3va_	1a3v	A	[]	PF00565
27060	b.58.1.1	d1a3wa1	1a3w	A	['88-188']	PF00224
29288	c.1.12.1	d1a3wa2	1a3w	A	['2-87', '189-366']	PF00224
33142	c.49.1.1	d1a3wa3	1a3w	A	['367-500']	PF00224
27061	b.58.1.1	d1a3wb1	1a3w	B	['88-188']	PF00224
29289	c.1.12.1	d1a3wb2	1a3w	B	['2-87', '189-366']	PF00224
33143	c.49.1.1	d1a3wb3	1a3w	B	['367-500']	PF00224
27062	b.58.1.1	d1a3xa1	1a3x	A	['88-188']	PF00224
29290	c.1.12.1	d1a3xa2	1a3x	A	['1-87', '189-366']	PF00224
33144	c.49.1.1	d1a3xa3	1a3x	A	['367-500']	PF00224
27063	b.58.1.1	d1a3xb1	1a3x	B	['88-188']	PF00224
29291	c.1.12.1	d1a3xb2	1a3x	B	['1-87', '189-366']	PF00224
33145	c.49.1.1	d1a3xb3	1a3x	B	['367-500']	PF00224
27110	b.60.1.1	d1a3ya_	1a3y	A	[]	PF00061
27111	b.60.1.1	d1a3yb_	1a3y	B	[]	PF00061
23019	b.6.1.1	d1a3za_	1a3z	A	[]	PF00127
27951	b.74.1.1	d1a42a_	1a42	A	[]	PF00194
23704	b.17.1.1	d1a44a_	1a44	A	[]	PF01161
23602	b.11.1.1	d1a45a1	1a45	A	['1-84']	PF00030
23603	b.11.1.1	d1a45a2	1a45	A	['86-174']	PF00030
21853	b.1.18.2	d1a47a1	1a47	A	['496-578']	PF00128
22522	b.3.1.1	d1a47a2	1a47	A	['579-683']	PF00128
27760	b.71.1.1	d1a47a3	1a47	A	['407-495']	PF00128
28747	c.1.8.1	d1a47a4	1a47	A	['1-406']	PF00128
41590	d.143.1.1	d1a48a_	1a48	A	[]	PF01259
27026	b.58.1.1	d1a49a1	1a49	A	['116-217']	PF00224
